AREA_LANDZONE,NON_RETAIL,AVER_ROOMS,OWNER_OCCUPIED,INDEX_HIGHWAYS,TAX,PTRATIO,MEDIAN_VAL
18,2.31,6.575,65.2,A,296,15.3,24
0,7.07,6.421,78.9,B,242,17.8,21.6
0,7.07,7.185,61.1,B,242,17.8,34.7
0,2.18,6.998,45.8,C,222,18.7,33.4
0,2.18,7.147,54.2,C,222,18.7,36.2
0,2.18,6.43,58.7,C,222,18.7,28.7
12.5,7.87,6.012,66.6,E,311,15.2,22.9
12.5,7.87,6.172,96.1,E,311,15.2,27.1
12.5,7.87,5.631,100,E,311,15.2,16.5
12.5,7.87,6.004,85.9,E,311,15.2,18.9
12.5,7.87,6.377,94.3,E,311,15.2,15
12.5,7.87,6.009,82.9,E,311,15.2,18.9
12.5,7.87,5.889,39,E,311,15.2,21.7
0,8.14,5.949,61.8,D,307,21,20.4
0,8.14,6.096,84.5,D,307,21,18.2
0,8.14,5.834,56.5,D,307,21,19.9
0,8.14,5.935,29.3,D,307,21,23.1
0,8.14,5.99,81.7,D,307,21,17.5
0,8.14,5.456,36.6,D,307,21,20.2
0,8.14,5.727,69.5,D,307,21,18.2
0,8.14,5.57,98.1,D,307,21,13.6
0,8.14,5.965,89.2,D,307,21,19.6
0,8.14,6.142,91.7,D,307,21,15.2
0,8.14,5.813,100,D,307,21,14.5
0,8.14,5.924,94.1,D,307,21,15.6
0,8.14,5.599,85.7,D,307,21,13.9
0,8.14,5.813,90.3,D,307,21,16.6
0,8.14,6.047,88.8,D,307,21,14.8
0,8.14,6.495,94.4,D,307,21,18.4
0,8.14,6.674,87.3,D,307,21,21
0,8.14,5.713,94.1,D,307,21,12.7
0,8.14,6.072,100,D,307,21,14.5
0,8.14,5.95,82,D,307,21,13.2
0,8.14,5.701,95,D,307,21,13.1
0,8.14,6.096,96.9,D,307,21,13.5
0,5.96,5.933,68.2,E,279,19.2,18.9
0,5.96,5.841,61.4,E,279,19.2,20
0,5.96,5.85,41.5,E,279,19.2,21
0,5.96,5.966,30.2,E,279,19.2,24.7
75,2.95,6.595,21.8,C,252,18.3,30.8
75,2.95,7.024,15.8,C,252,18.3,34.9
0,6.91,6.77,2.9,C,233,17.9,26.6
0,6.91,6.169,6.6,C,233,17.9,25.3
0,6.91,6.211,6.5,C,233,17.9,24.7
0,6.91,6.069,40,C,233,17.9,21.2
0,6.91,5.682,33.8,C,233,17.9,19.3
0,6.91,5.786,33.3,C,233,17.9,20
0,6.91,6.03,85.5,C,233,17.9,16.6
0,6.91,5.399,95.3,C,233,17.9,14.4
21,5.64,5.963,45.7,D,243,16.8,19.7
21,5.64,6.115,63,D,243,16.8,20.5
21,5.64,6.511,21.1,D,243,16.8,25
21,5.64,5.998,21.4,D,243,16.8,23.4
75,4,5.888,47.6,C,469,21.1,18.9
90,1.22,7.249,21.9,E,226,17.9,35.4
100,1.32,6.816,40.5,E,256,15.1,31.6
25,5.13,6.145,29.2,H,284,19.7,23.3
25,5.13,5.927,47.2,H,284,19.7,19.6
25,5.13,5.741,66.2,H,284,19.7,18.7
25,5.13,5.966,93.4,H,284,19.7,16
25,5.13,6.456,67.8,H,284,19.7,22.2
17.5,1.38,7.104,59.5,C,216,18.6,33
80,3.37,6.29,17.8,D,337,16.1,23.5
80,3.37,5.787,31.1,D,337,16.1,19.4
12.5,6.07,5.878,21.4,D,345,18.9,22
12.5,6.07,5.594,36.8,D,345,18.9,17.4
12.5,6.07,5.885,33,D,345,18.9,20.9
0,10.81,6.417,6.6,D,305,19.2,24.2
0,10.81,5.961,17.5,D,305,19.2,21.7
0,10.81,6.065,7.8,D,305,19.2,22.8
0,10.81,6.245,6.2,D,305,19.2,23.4
0,12.83,6.273,6,E,398,18.7,24.1
0,12.83,6.286,45,E,398,18.7,21.4
0,12.83,6.279,74.5,E,398,18.7,20
0,12.83,6.14,45.8,E,398,18.7,20.8
0,12.83,6.232,53.7,E,398,18.7,21.2
0,12.83,5.874,36.6,E,398,18.7,20.3
25,4.86,6.727,33.5,D,281,19,28
25,4.86,6.619,70.4,D,281,19,23.9
25,4.86,6.302,32.2,D,281,19,24.8
25,4.86,6.167,46.7,D,281,19,22.9
0,4.49,6.389,48,C,247,18.5,23.9
0,4.49,6.63,56.1,C,247,18.5,26.6
0,4.49,6.015,45.1,C,247,18.5,22.5
0,4.49,6.121,56.8,C,247,18.5,22.2
0,3.41,7.007,86.3,B,270,17.8,23.6
0,3.41,7.079,63.1,B,270,17.8,28.7
0,3.41,6.417,66.1,B,270,17.8,22.6
0,3.41,6.405,73.9,B,270,17.8,22
28,15.04,6.442,53.6,D,270,18.2,22.9
28,15.04,6.211,28.9,D,270,18.2,25
28,15.04,6.249,77.3,D,270,18.2,20.6
0,2.89,6.625,57.8,B,276,18,28.4
0,2.89,6.163,69.6,B,276,18,21.4
0,2.89,8.069,76,B,276,18,38.7
0,2.89,7.82,36.9,B,276,18,43.8
0,2.89,7.416,62.5,B,276,18,33.2
0,8.56,6.727,79.9,E,384,20.9,27.5
0,8.56,6.781,71.3,E,384,20.9,26.5
0,8.56,6.405,85.4,E,384,20.9,18.6
0,8.56,6.137,87.4,E,384,20.9,19.3
0,8.56,6.167,90,E,384,20.9,20.1
0,8.56,5.851,96.7,E,384,20.9,19.5
0,8.56,5.836,91.9,E,384,20.9,19.5
0,8.56,6.127,85.2,E,384,20.9,20.4
0,8.56,6.474,97.1,E,384,20.9,19.8
0,8.56,6.229,91.2,E,384,20.9,19.4
0,8.56,6.195,54.4,E,384,20.9,21.7
0,10.01,6.715,81.6,F,432,17.8,22.8
0,10.01,5.913,92.9,F,432,17.8,18.8
0,10.01,6.092,95.4,F,432,17.8,18.7
0,10.01,6.254,84.2,F,432,17.8,18.5
0,10.01,5.928,88.2,F,432,17.8,18.3
0,10.01,6.176,72.5,F,432,17.8,21.2
0,10.01,6.021,82.6,F,432,17.8,19.2
0,10.01,5.872,73.1,F,432,17.8,20.4
0,10.01,5.731,65.2,F,432,17.8,19.3
0,25.65,5.87,69.7,B,188,19.1,22
0,25.65,6.004,84.1,B,188,19.1,20.3
0,25.65,5.961,92.9,B,188,19.1,20.5
0,25.65,5.856,97,B,188,19.1,17.3
0,25.65,5.879,95.8,B,188,19.1,18.8
0,25.65,5.986,88.4,B,188,19.1,21.4
0,25.65,5.613,95.6,B,188,19.1,15.7
0,21.89,5.693,96,D,437,21.2,16.2
0,21.89,6.431,98.8,D,437,21.2,18
0,21.89,5.637,94.7,D,437,21.2,14.3
0,21.89,6.458,98.9,D,437,21.2,19.2
0,21.89,6.326,97.7,D,437,21.2,19.6
0,21.89,6.372,97.9,D,437,21.2,23
0,21.89,5.822,95.4,D,437,21.2,18.4
0,21.89,5.757,98.4,D,437,21.2,15.6
0,21.89,6.335,98.2,D,437,21.2,18.1
0,21.89,5.942,93.5,D,437,21.2,17.4
0,21.89,6.454,98.4,D,437,21.2,17.1
0,21.89,5.857,98.2,D,437,21.2,13.3
0,21.89,6.151,97.9,D,437,21.2,17.8
0,21.89,6.174,93.6,D,437,21.2,14
0,21.89,5.019,100,D,437,21.2,14.4
0,19.58,5.403,100,E,403,14.7,13.4
