point,neuron_i,neuron_j
0,1,0
1,4,7
2,2,2
3,2,2
4,2,2
5,2,2
6,9,4
7,9,4
8,9,4
9,9,4
10,9,4
11,9,4
12,8,2
13,9,4
14,9,4
15,9,4
16,8,2
17,9,4
18,8,2
19,9,4
20,9,4
21,9,4
22,9,4
23,9,4
24,9,4
25,9,4
26,9,4
27,9,4
28,9,4
29,9,4
30,9,4
31,9,4
32,9,4
33,9,4
34,9,4
35,1,0
36,1,0
37,1,0
38,4,5
39,8,3
40,8,3
41,8,0
42,8,0
43,8,0
44,2,2
45,2,2
46,2,2
47,4,7
48,4,7
49,8,0
50,4,7
51,8,0
52,8,0
53,8,9
54,2,9
55,5,7
56,4,5
57,1,0
58,1,0
59,4,7
60,1,0
61,2,2
62,9,5
63,9,5
64,5,3
65,5,3
66,5,3
67,8,6
68,8,6
69,8,6
70,8,6
71,6,0
72,3,4
73,3,4
74,3,4
75,3,4
76,6,0
77,4,5
78,1,0
79,4,5
80,1,0
81,4,5
82,1,0
83,4,5
84,1,0
85,4,7
86,1,0
87,1,0
88,1,0
89,1,0
90,4,5
91,9,0
92,1,0
93,1,0
94,1,0
95,4,5
96,1,0
97,3,4
98,3,4
99,3,4
100,3,4
101,3,4
102,3,4
103,3,4
104,3,4
105,3,4
106,3,4
107,5,3
108,3,6
109,3,6
110,3,6
111,3,6
112,3,6
113,3,6
114,3,6
115,3,6
116,3,6
117,2,6
118,2,6
119,2,6
120,2,6
121,2,6
122,2,6
123,2,6
124,3,6
125,3,6
126,3,6
127,3,6
128,3,6
129,3,6
130,3,6
131,3,6
132,3,6
133,3,6
134,3,6
135,3,6
136,3,6
137,3,6
138,3,6
139,3,4
140,3,4
141,3,4
142,3,4
143,3,4
144,3,4
145,3,4
146,3,4
147,3,4
148,3,4
149,3,4
150,3,4
151,3,4
152,3,4
153,3,4
154,3,4
155,3,4
156,3,4
157,3,4
158,3,4
159,3,4
160,3,4
161,3,4
162,3,4
163,3,4
164,3,4
165,3,4
166,9,4
167,9,4
168,9,4
169,8,2
170,8,2
171,9,4
172,9,4
173,2,2
174,2,6
175,2,2
176,2,6
177,2,6
178,2,6
179,2,6
180,2,2
181,1,9
182,0,3
183,1,9
184,0,3
185,0,3
186,0,3
187,5,2
188,5,2
189,5,7
190,9,5
191,9,5
192,9,5
193,3,1
194,3,1
195,9,5
196,0,8
197,2,9
198,2,9
199,4,5
200,1,0
201,1,0
202,1,0
203,4,7
204,4,7
205,4,7
206,1,0
207,4,5
208,4,5
209,4,5
210,1,0
211,1,0
212,4,7
213,4,7
214,9,4
215,9,4
216,9,4
217,9,4
218,9,4
219,9,4
220,9,4
221,9,4
222,8,6
223,8,6
224,9,4
225,9,4
226,9,4
227,9,4
228,9,4
229,9,4
230,9,4
231,9,4
232,8,2
233,8,2
234,8,2
235,1,0
236,8,2
237,8,6
238,9,4
239,9,4
240,5,3
241,9,4
242,5,3
243,8,6
244,8,6
245,8,6
246,8,6
247,8,6
248,3,7
249,3,7
250,5,7
251,4,7
252,4,7
253,4,7
254,4,7
255,4,7
256,4,7
257,4,7
258,4,7
259,1,0
260,4,7
261,1,0
262,1,0
263,2,2
264,2,2
265,8,0
266,2,2
267,2,2
268,5,2
269,5,2
270,1,4
271,5,2
272,5,2
273,2,2
274,2,2
275,2,2
276,2,2
277,3,3
278,9,6
279,3,7
280,8,3
281,3,7
282,3,7
283,3,7
284,8,3
285,8,3
286,8,3
287,8,2
288,8,2
289,8,2
290,1,0
291,1,0
292,4,8
293,0,8
294,6,4
295,3,7
296,3,7
297,3,7
298,2,2
299,2,2
300,1,1
301,1,1
302,9,4
303,9,4
304,8,2
305,8,2
306,9,4
307,9,4
308,9,4
309,9,4
310,9,4
311,9,4
312,9,4
313,9,4
314,1,0
315,1,0
316,1,0
317,1,0
318,8,2
319,8,2
320,8,2
321,8,2
322,6,0
323,6,0
324,9,1
325,3,7
326,3,7
327,2,2
328,2,2
329,2,2
330,2,2
331,2,2
332,2,2
333,2,2
334,2,2
335,1,0
336,3,6
337,6,4
338,0,8
339,5,3
340,5,3
341,9,5
342,9,6
343,3,7
344,3,7
345,1,9
346,1,5
347,3,3
348,9,5
349,9,5
350,1,6
351,1,6
352,1,6
353,1,6
354,1,6
355,1,6
356,1,6
357,1,6
358,1,6
359,1,6
360,1,6
361,1,6
362,1,6
363,1,6
364,1,6
365,1,6
366,1,6
367,1,6
368,1,6
369,1,6
370,1,6
371,1,6
372,1,6
373,1,6
374,1,6
375,1,6
376,1,6
377,1,6
378,1,6
379,1,6
380,1,6
381,1,6
382,1,6
383,1,6
384,1,6
385,1,6
386,1,6
387,1,6
388,1,6
389,1,6
390,1,6
391,1,6
392,1,6
393,1,6
394,1,6
395,1,6
396,1,6
397,1,6
398,1,6
399,1,6
400,1,6
401,1,6
402,1,6
403,1,6
404,1,6
405,1,6
406,1,6
407,1,6
408,1,6
409,1,6
410,1,6
411,1,6
412,1,6
413,1,6
414,1,6
415,1,6
416,1,6
417,1,6
418,1,6
419,1,6
420,4,0
421,1,6
422,1,6
423,1,6
424,1,6
425,1,6
426,1,6
427,1,6
428,1,6
429,1,6
430,1,6
431,1,6
432,1,6
433,1,6
434,1,6
435,1,6
436,1,6
437,1,6
438,1,6
439,1,6
440,1,6
441,1,6
442,1,6
443,1,6
444,1,6
445,1,6
446,1,6
447,1,6
448,1,6
449,1,6
450,1,6
451,1,6
452,1,6
453,1,6
454,1,6
455,1,6
456,1,6
457,1,6
458,1,6
459,4,0
460,1,6
461,1,6
462,1,6
463,4,0
464,1,6
465,1,6
466,1,6
467,1,6
468,1,6
469,1,6
470,1,6
471,1,6
472,1,6
473,1,6
474,1,6
475,1,6
476,1,6
477,4,6
478,4,6
479,4,0
480,1,6
481,4,0
482,1,6
483,1,6
484,1,6
485,1,6
486,1,6
487,3,4
488,5,3
489,6,0
490,3,4
491,3,4
492,3,4
493,3,4
494,3,4
495,1,0
496,1,0
497,4,7
498,4,7
499,1,0
