i,j,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
0,0,1.7143294511641205,10.248215159285305,4.106986807060239,39.7326054084492,3.2903506444222197E-199,1.9526770303065235E-47,3.125474372273369E-88,1.2366410624247075E-27,2.8920771925932857E-37,2.0981086879675615E-144,1.0,1.1563687322048672E-199,297.0,17.019941776900314,31.990638418738172
0,1,16.881962708160835,23.77028471432956,3.8917674159416675,74.10758216654652,0.0,3.804219697690219E-259,1.0,3.280816535164392E-206,3.1870776114890686E-233,0.0,0.0,0.0,494.0,18.82598855439299,12.638636694965333
0,2,14.758925329255971,10.241634333698565,7.45156323594427,48.828805223475854,4.93233641052751E-97,1.6987514343914875E-8,0.9953149511241434,0.004644376250531445,4.065563781088501E-5,1.6244106497351155E-61,5.285304517955449E-69,1.1863492817949091E-100,206.03208444149556,13.551619956557715,17.801852587977947
0,3,91.65677679394545,6.314347065025237,5.80047103433433,70.96489649526019,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,600.0,20.943692958589374,31.924010612549072
0,4,41.46444674504567,13.775060933133895,5.328151661736345,92.11985395863339,1.0,1.179189854089262E-71,1.573733540958853E-120,1.7298369399236498E-46,6.095712787470851E-59,2.8670975179791554E-185,1.371662751822429E-198,3.8511592061289304E-246,319.0,19.011738692258646,10.186303696359541
0,5,90.7168296754908,13.684592559459217,8.738318845332051,88.23552818719463,1.0,1.5163531218775359E-183,8.328694614510616E-259,6.604578361442693E-141,1.6324389637945526E-162,0.0,0.0,0.0,424.0,18.34584460607544,24.17158255069498
0,6,14.586171658148972,22.18063478133161,4.4622702376842875,89.76256492137748,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,708.0,16.23990420865538,8.83403843325719
0,7,50.42931499790358,11.819873033625198,3.9926923162015266,53.726437591593054,0.0,1.307041649341108E-115,6.587599992534612E-177,3.4135965149338627E-82,5.783895598478002E-99,5.940643889123658E-255,8.32767524820219E-271,4.9E-324,376.0,21.11427266212049,32.745890520965204
0,8,2.628829848513118,4.282321817685873,5.869734839120206,85.48797654994151,0.9999999999955227,4.6256316517746196E-24,3.755753217415993E-53,4.477269132232499E-12,1.3010120644066901E-17,6.059096045658659E-97,2.5295395978958533E-106,1.6855187208805256E-143,239.99999999892725,15.987598572660213,14.585734023951954
0,9,96.23634428908872,12.012118898282253,7.203303437397505,7.712008449902038,2.0926449360473935E-115,7.892421199094066E-28,1.350271026311303E-46,8.382916828711982E-23,1.1604294571252713E-24,1.0142809518657937E-79,1.0,2.2888019016176365E-117,208.0,18.811582619298463,15.210634659221817
1,0,54.162712086948915,3.8759200192462604,7.482499166331781,21.391349253126002,0.0,1.0,0.0,1.2612631047534006E-198,5.337472256764316E-224,0.0,0.0,0.0,485.0,16.76702643094382,32.49419567159192
1,1,53.08603474597565,7.338192411286507,3.881904596704331,62.842091586950566,0.0,3.760444650644283E-147,1.0,2.4142090390638963E-109,2.0332143965930273E-128,2.6975956758789497E-300,1.551607E-317,0.0,405.0,15.1723152629747,8.663444423417364
1,2,88.86014473702703,13.408200833352865,5.681499098974143,94.58104145617894,6.14112422737403E-310,1.0,6.545785133894586E-168,1.0118921437594995E-78,2.4930002826696713E-94,1.922378682582696E-242,1.2104062218193636E-257,4.12862406339724E-309,351.0,19.26249601152638,31.614836204972754
1,3,24.83218984422072,0.6831782038020656,8.273666032778968,70.63883603918836,0.0,1.0,1.4294534777280948E-227,3.339732294594562E-117,2.988212825817129E-137,9.30892937E-316,0.0,0.0,416.0,17.209258493009973,10.63997342524701
1,4,83.44348167943782,5.313115063786065,5.231952757586211,38.203883743724035,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,625.0,20.52123740748877,25.43416412123092
1,5,70.70661664001821,0.8169490678199265,5.829453949660981,73.20834927122101,1.0809625611068068E-127,3.755148610534993E-24,1.5364958317362176E-48,1.0,3.374705166572365E-19,1.9480790078188532E-87,6.279102992048871E-96,5.3040442374955226E-130,215.9999999999995,20.94096812511785,42.08188052822125
